id,name,section,provisional,country,url,image,pdf
96,RAFEIRO OF ALENTEJO,Molossian type,,PORTUGAL,http://www.fci.be/en/nomenclature/RAFEIRO-OF-ALENTEJO-96.html,http://www.fci.be/Nomenclature/Illustrations/096g02.jpg,http://www.fci.be/Nomenclature/Standards/096g02-en.pdf
97,GERMAN SPITZ,European Spitz,,GERMANY,http://www.fci.be/en/nomenclature/GERMAN-SPITZ-97.html,http://www.fci.be/Nomenclature/Illustrations/097g05-1.jpg,http://www.fci.be/Nomenclature/Standards/097g05-en.pdf
98,GERMAN WIRE- HAIRED POINTING DOG,Continental Pointing Dogs,,GERMANY,http://www.fci.be/en/nomenclature/GERMAN-WIRE-HAIRED-POINTING-DOG-98.html,http://www.fci.be/Nomenclature/Illustrations/098g07.jpg,http://www.fci.be/Nomenclature/Standards/098g07-en.pdf
99,WEIMARANER,Continental Pointing Dogs,,GERMANY,http://www.fci.be/en/nomenclature/WEIMARANER-99.html,,http://www.fci.be/Nomenclature/Standards/099g07-en.pdf
100,WESTPHALIAN DACHSBRACKE,Scent hounds,,GERMANY,http://www.fci.be/en/nomenclature/WESTPHALIAN-DACHSBRACKE-100.html,,http://www.fci.be/Nomenclature/Standards/100g06-en.pdf
101,FRENCH BULLDOG,Small Molossian type Dogs,,FRANCE,http://www.fci.be/en/nomenclature/FRENCH-BULLDOG-101.html,http://www.fci.be/Nomenclature/Illustrations/101g09.jpg,http://www.fci.be/Nomenclature/Standards/101g09-en.pdf
102,KLEINER MÜNSTERLÄNDER,Continental Pointing Dogs,,GERMANY,http://www.fci.be/en/nomenclature/KLEINER-MUNSTERLANDER-102.html,,http://www.fci.be/Nomenclature/Standards/102g07-en.pdf
103,GERMAN HUNTING TERRIER,Large and medium sized Terriers,,GERMANY,http://www.fci.be/en/nomenclature/GERMAN-HUNTING-TERRIER-103.html,http://www.fci.be/Nomenclature/Illustrations/103g03-1.jpg,http://www.fci.be/Nomenclature/Standards/103g03-en.pdf
104,GERMAN SPANIEL,Flushing Dogs,,GERMANY,http://www.fci.be/en/nomenclature/GERMAN-SPANIEL-104.html,http://www.fci.be/Nomenclature/Illustrations/104g08.jpg,http://www.fci.be/Nomenclature/Standards/104g08-en.pdf
105,FRENCH WATER DOG,Water Dogs,,FRANCE,http://www.fci.be/en/nomenclature/FRENCH-WATER-DOG-105.html,http://www.fci.be/Nomenclature/Illustrations/105g08.jpg,http://www.fci.be/Nomenclature/Standards/105g08-en.pdf
106,BLUE PICARDY SPANIEL,Continental Pointing Dogs,,FRANCE,http://www.fci.be/en/nomenclature/BLUE-PICARDY-SPANIEL-106.html,,http://www.fci.be/Nomenclature/Standards/106g07-en.pdf
107,WIRE-HAIRED POINTING GRIFFON KORTHALS,Continental Pointing Dogs,,FRANCE,http://www.fci.be/en/nomenclature/WIRE-HAIRED-POINTING-GRIFFON-KORTHALS-107.html,,http://www.fci.be/Nomenclature/Standards/107g07-en.pdf
108,PICARDY SPANIEL,Continental Pointing Dogs,,FRANCE,http://www.fci.be/en/nomenclature/PICARDY-SPANIEL-108.html,,http://www.fci.be/Nomenclature/Standards/108g07-en.pdf
109,CLUMBER SPANIEL,Flushing Dogs,,GREAT BRITAIN,http://www.fci.be/en/nomenclature/CLUMBER-SPANIEL-109.html,http://www.fci.be/Nomenclature/Illustrations/109g08.jpg,http://www.fci.be/Nomenclature/Standards/109g08-en.pdf
110,CURLY COATED RETRIEVER,Retrievers,,GREAT BRITAIN,http://www.fci.be/en/nomenclature/CURLY-COATED-RETRIEVER-110.html,http://www.fci.be/Nomenclature/Illustrations/110g08.jpg,http://www.fci.be/Nomenclature/Standards/110g08-en.pdf
111,GOLDEN RETRIEVER,Retrievers,,GREAT BRITAIN,http://www.fci.be/en/nomenclature/GOLDEN-RETRIEVER-111.html,,http://www.fci.be/Nomenclature/Standards/111g08-en.pdf
113,BRIARD,Sheepdogs,,FRANCE,http://www.fci.be/en/nomenclature/BRIARD-113.html,http://www.fci.be/Nomenclature/Illustrations/113g01.jpg,http://www.fci.be/Nomenclature/Standards/113g01-en.pdf
