id,name,group,section,provisional,country,url,image,pdf
312,RETRIEVER DE LA NOUVELLE ECOSSE,Chiens rapporteurs de gibier,Rapporteurs de gibier,,CANADA,https://www.fci.be/fr/nomenclature/RETRIEVER-DE-LA-NOUVELLE-ECOSSE-312.html,,https://www.fci.be/Nomenclature/Standards/312g08-fr.pdf
313,SCHAPENDOES NEERLANDAIS,Chiens de berger et de bouvier,Chiens de berger,,PAYS-BAS,https://www.fci.be/fr/nomenclature/SCHAPENDOES-NEERLANDAIS-313.html,https://www.fci.be/Nomenclature/Illustrations/313g01-1.jpg,https://www.fci.be/Nomenclature/Standards/313g01-fr.pdf
314,NEDERLANDSE KOOIKERHONDJE,Chiens rapporteurs de gibier,Chiens leveurs de gibier et broussailleurs,,PAYS-BAS,https://www.fci.be/fr/nomenclature/NEDERLANDSE-KOOIKERHONDJE-314.html,https://www.fci.be/Nomenclature/Illustrations/314g08-1.jpg,https://www.fci.be/Nomenclature/Standards/314g08-fr.pdf
315,BROHOLMER,Chiens de type Pinscher et Schnauzer,Molossoïdes,,DANEMARK,https://www.fci.be/fr/nomenclature/BROHOLMER-315.html,https://www.fci.be/Nomenclature/Illustrations/315g02.jpg,https://www.fci.be/Nomenclature/Standards/315g02-fr.pdf
316,FRANÇAIS BLANC ET ORANGE,"Chiens courants, Chiens de recherche au sang et Races apparentées",Chiens courants,,FRANCE,https://www.fci.be/fr/nomenclature/FRANCAIS-BLANC-ET-ORANGE-316.html,,https://www.fci.be/Nomenclature/Standards/316g06-fr.pdf
317,KAI,Chiens de type Spitz et de type primitif,Spitz asiatiques et races apparentées,,JAPON,https://www.fci.be/fr/nomenclature/KAI-317.html,https://www.fci.be/Nomenclature/Illustrations/317g05.jpg,https://www.fci.be/Nomenclature/Standards/317g05-fr.pdf
318,KISHU,Chiens de type Spitz et de type primitif,Spitz asiatiques et races apparentées,,JAPON,https://www.fci.be/fr/nomenclature/KISHU-318.html,https://www.fci.be/Nomenclature/Illustrations/318g05.jpg,https://www.fci.be/Nomenclature/Standards/318g05-fr.pdf
319,SHIKOKU,Chiens de type Spitz et de type primitif,Spitz asiatiques et races apparentées,,JAPON,https://www.fci.be/fr/nomenclature/SHIKOKU-319.html,https://www.fci.be/Nomenclature/Illustrations/319g05.jpg,https://www.fci.be/Nomenclature/Standards/319g05-fr.pdf
320,BRAQUE SLOVAQUE A POIL DUR,Chiens d'arrêt,Chiens d'arrêt continentaux,,SLOVAQUIE,https://www.fci.be/fr/nomenclature/BRAQUE-SLOVAQUE-A-POIL-DUR-320.html,,https://www.fci.be/Nomenclature/Standards/320g07-fr.pdf
321,CHIEN DE BERGER DE MAJORQUE,Chiens de berger et de bouvier,Chiens de berger,,ESPAGNE,https://www.fci.be/fr/nomenclature/CHIEN-DE-BERGER-DE-MAJORQUE-321.html,,https://www.fci.be/Nomenclature/Standards/321g01-fr.pdf
322,GRAND ANGLO-FRANÇAIS TRICOLORE,"Chiens courants, Chiens de recherche au sang et Races apparentées",Chiens courants,,FRANCE,https://www.fci.be/fr/nomenclature/GRAND-ANGLO-FRANCAIS-TRICOLORE-322.html,,https://www.fci.be/Nomenclature/Standards/322g06-fr.pdf
