id,name,group,section,provisional,country,url,image,pdf
90,PERDIGUERO VON BURGOS,Vorstehhunde,Kontinentale Vorstehhunde,,SPANIEN,https://www.fci.be/de/nomenclature/PERDIGUERO-VON-BURGOS-90.html,,https://www.fci.be/Nomenclature/Standards/090g07-de.pdf
91,SPANISCHER MASTIFF,Pinscher und Schnauzer,Molossoide,,SPANIEN,https://www.fci.be/de/nomenclature/SPANISCHER-MASTIFF-91.html,,https://www.fci.be/Nomenclature/Standards/091g02-de.pdf
92,PYRENÄEN-MASTIFF,Pinscher und Schnauzer,Molossoide,,SPANIEN,https://www.fci.be/de/nomenclature/PYRENAEN-MASTIFF-92.html,,https://www.fci.be/Nomenclature/Standards/092g02-de.pdf
93,PORTUGIESISCHER SCHÄFERHUND,Hütehunde und Treibhunde,Schäferhunde,,PORTUGAL,https://www.fci.be/de/nomenclature/PORTUGIESISCHER-SCHAFERHUND-93.html,https://www.fci.be/Nomenclature/Illustrations/093g01.jpg,https://www.fci.be/Nomenclature/Standards/093g01-de.pdf
94,PORTUGIESISCHER PODENGO,Spitze und Hunde vom Urtyp,Urtyp - Hunde zur jagdlichen Verwendung,,PORTUGAL,https://www.fci.be/de/nomenclature/PORTUGIESISCHER-PODENGO-94.html,https://www.fci.be/Nomenclature/Illustrations/094g05-1.jpg,https://www.fci.be/Nomenclature/Standards/094g05-de.pdf
95,BRETONISCHER SPANIEL,Vorstehhunde,Kontinentale Vorstehhunde,,FRANKREICH,https://www.fci.be/de/nomenclature/BRETONISCHER-SPANIEL-95.html,https://www.fci.be/Nomenclature/Illustrations/095g07.jpg,https://www.fci.be/Nomenclature/Standards/095g07-de.pdf
96,RAFEIRO VON ALENTEJO,Pinscher und Schnauzer,Molossoide,,PORTUGAL,https://www.fci.be/de/nomenclature/RAFEIRO-VON-ALENTEJO-96.html,https://www.fci.be/Nomenclature/Illustrations/096g02.jpg,https://www.fci.be/Nomenclature/Standards/096g02-de.pdf
97,DEUTSCHER SPITZ,Spitze und Hunde vom Urtyp,Europäische Spitze,,DEUTSCHLAND,https://www.fci.be/de/nomenclature/DEUTSCHER-SPITZ-97.html,https://www.fci.be/Nomenclature/Illustrations/097g05-1.jpg,https://www.fci.be/Nomenclature/Standards/097g05-de.pdf
98,DEUTSCH DRAHTHAAR,Vorstehhunde,Kontinentale Vorstehhunde,,DEUTSCHLAND,https://www.fci.be/de/nomenclature/DEUTSCH-DRAHTHAAR-98.html,https://www.fci.be/Nomenclature/Illustrations/098g07.jpg,https://www.fci.be/Nomenclature/Standards/098g07-de.pdf
99,WEIMARANER,Vorstehhunde,Kontinentale Vorstehhunde,,DEUTSCHLAND,https://www.fci.be/de/nomenclature/WEIMARANER-99.html,https://www.fci.be/Nomenclature/Illustrations/099g07-1.jpg,https://www.fci.be/Nomenclature/Standards/099g07-de.pdf
100,WESTFÄLISCHE DACHSBRACKE,"Laufhunde, Schweisshunde und verwandte Rassen",Laufhunde,,DEUTSCHLAND,https://www.fci.be/de/nomenclature/WESTFALISCHE-DACHSBRACKE-100.html,,https://www.fci.be/Nomenclature/Standards/100g06-de.pdf
101,FRANZÖSISCHE BULLDOGGE,Gesellschafts,Kleine doggenartige Hunde,,FRANKREICH,https://www.fci.be/de/nomenclature/FRANZOSISCHE-BULLDOGGE-101.html,https://www.fci.be/Nomenclature/Illustrations/101g09.jpg,https://www.fci.be/Nomenclature/Standards/101g09-de.pdf
102,KLEINER MÜNSTERLÄNDER,Vorstehhunde,Kontinentale Vorstehhunde,,DEUTSCHLAND,https://www.fci.be/de/nomenclature/KLEINER-MUNSTERLANDER-102.html,,https://www.fci.be/Nomenclature/Standards/102g07-de.pdf
103,DEUTSCHER JAGDTERRIER,Terrier,Hochläufige Terrier,,DEUTSCHLAND,https://www.fci.be/de/nomenclature/DEUTSCHER-JAGDTERRIER-103.html,https://www.fci.be/Nomenclature/Illustrations/103g03-1.jpg,https://www.fci.be/Nomenclature/Standards/103g03-de.pdf
104,DEUTSCHER WACHTELHUND,Apportierhunde,Stöberhunde,,DEUTSCHLAND,https://www.fci.be/de/nomenclature/DEUTSCHER-WACHTELHUND-104.html,https://www.fci.be/Nomenclature/Illustrations/104g08.jpg,https://www.fci.be/Nomenclature/Standards/104g08-de.pdf
105,FRANZÖSISCHER WASSERHUND,Apportierhunde,Wasserhunde,,FRANKREICH,https://www.fci.be/de/nomenclature/FRANZOSISCHER-WASSERHUND-105.html,https://www.fci.be/Nomenclature/Illustrations/105g08.jpg,https://www.fci.be/Nomenclature/Standards/105g08-de.pdf
106,BLAUER PICARDIE-SPANIEL,Vorstehhunde,Kontinentale Vorstehhunde,,FRANKREICH,https://www.fci.be/de/nomenclature/BLAUER-PICARDIE-SPANIEL-106.html,https://www.fci.be/Nomenclature/Illustrations/106g07.jpg,
107,FRANZÖSISCHER RAUHHAARIGER VORSTEHHUND (KORTHALS),Vorstehhunde,Kontinentale Vorstehhunde,,FRANKREICH,https://www.fci.be/de/nomenclature/FRANZOSISCHER-RAUHHAARIGER-VORSTEHHUND-KORTHALS-107.html,https://www.fci.be/Nomenclature/Illustrations/107g07.jpg,https://www.fci.be/Nomenclature/Standards/107g07-de.pdf
108,PICARDIE-SPANIEL,Vorstehhunde,Kontinentale Vorstehhunde,,FRANKREICH,https://www.fci.be/de/nomenclature/PICARDIE-SPANIEL-108.html,https://www.fci.be/Nomenclature/Illustrations/108g07.jpg,
109,CLUMBER SPANIEL,Apportierhunde,Stöberhunde,,GROßBRITANNIEN,https://www.fci.be/de/nomenclature/CLUMBER-SPANIEL-109.html,https://www.fci.be/Nomenclature/Illustrations/109g08.jpg,https://www.fci.be/Nomenclature/Standards/109g08-de.pdf
110,CURLY COATED RETRIEVER,Apportierhunde,Apportierhunde,,GROßBRITANNIEN,https://www.fci.be/de/nomenclature/CURLY-COATED-RETRIEVER-110.html,https://www.fci.be/Nomenclature/Illustrations/110g08.jpg,https://www.fci.be/Nomenclature/Standards/110g08-de.pdf
111,GOLDEN RETRIEVER,Apportierhunde,Apportierhunde,,GROßBRITANNIEN,https://www.fci.be/de/nomenclature/GOLDEN-RETRIEVER-111.html,https://www.fci.be/Nomenclature/Illustrations/111g08.jpg,https://www.fci.be/Nomenclature/Standards/111g08-de.pdf
113,BERGER DE BRIE,Hütehunde und Treibhunde,Schäferhunde,,FRANKREICH,https://www.fci.be/de/nomenclature/BERGER-DE-BRIE-113.html,https://www.fci.be/Nomenclature/Illustrations/113g01.jpg,https://www.fci.be/Nomenclature/Standards/113g01-de.pdf
114,PONT-AUDEMER SPANIEL,Vorstehhunde,Kontinentale Vorstehhunde,,FRANKREICH,https://www.fci.be/de/nomenclature/PONT-AUDEMER-SPANIEL-114.html,https://www.fci.be/Nomenclature/Illustrations/114g07.jpg,https://www.fci.be/Nomenclature/Standards/114g07-de.pdf
115,BRAQUE SAINT-GERMAIN,Vorstehhunde,Kontinentale Vorstehhunde,,FRANKREICH,https://www.fci.be/de/nomenclature/BRAQUE-SAINT-GERMAIN-115.html,https://www.fci.be/Nomenclature/Illustrations/115g07.jpg,https://www.fci.be/Nomenclature/Standards/115g07-de.pdf
