id,name,group,section,provisional,country,url,image,pdf
152,Істрийський Грубошерстий Гончак,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,Croatia,https://uku.com.ua/plem_work/breed_fci/06.html,,
153,Далматин,Гончаки по кров’яному сліду та споріднені породи,Споріднені породи,,Croatia,https://uku.com.ua/plem_work/breed_fci/06.html,,
154,Позавський Гончак,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,Croatia,https://uku.com.ua/plem_work/breed_fci/06.html,,
155,Боснійський Грубошерстий Гончак - Барак,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,Bosnia and Herzegovina,https://uku.com.ua/plem_work/breed_fci/06.html,,
156,Коллі довгошерста,Пастуші собаки (вівчарки) та скотогонні собаки (крім швейцарських скотогонних собак),Пастуші собаки (вівчарки),,Great Britain,https://uku.com.ua/plem_work/breed_fci/01.html,,
157,Бульмастиф,Пінчери та шнауцери - Молоси та Швейцарські Гірські та Скотогонні собаки,Молоси,,Great Britain,https://uku.com.ua/plem_work/breed_fci/02.html,,
158,Грейхаунд,Хорти,Короткошерсті Хорти,,Great Britain,https://uku.com.ua/plem_work/breed_fci/10.html,,
159,Англійський Фоксхаунд,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,Great Britain,https://uku.com.ua/plem_work/breed_fci/06.html,,
160,Ірландський Вовкодав,Хорти,Жорсткошерсті Хорти,,Ireland,https://uku.com.ua/plem_work/breed_fci/10.html,,
161,Бігль,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,Great Britain,https://uku.com.ua/plem_work/breed_fci/06.html,,
162,Уіпет,Хорти,Короткошерсті Хорти,,Great Britain,https://uku.com.ua/plem_work/breed_fci/10.html,,
163,Басет Хаунд,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,Great Britain,https://uku.com.ua/plem_work/breed_fci/06.html,,
164,Дірхаунд,Хорти,Жорсткошерсті Хорти,,Great Britain,https://uku.com.ua/plem_work/breed_fci/10.html,,
165,Італійський Спінон - Італійський Жорсткошерстий Лягавий Собака,Лягаві Собаки,Континентальні Лягаві Собаки,,Italy,https://uku.com.ua/plem_work/breed_fci/07.html,,
166,Німецька Вівчарка,Пастуші собаки (вівчарки) та скотогонні собаки (крім швейцарських скотогонних собак),Пастуші собаки (вівчарки),,Germany,https://uku.com.ua/plem_work/breed_fci/01.html,,
167,Американський Кокер Спанієль,Ретривери - Спанієлі - Водяні Собаки,Спанієлі,,USA,https://uku.com.ua/plem_work/breed_fci/08.html,,
168,Данді Дінмонт Тер’єр,Тер’єри,Тер’єри малого розміру,,Great Britain,https://uku.com.ua/plem_work/breed_fci/03.html,,
169,Фокстер’єр жорсткошерстий,Тер’єри,Тер’єри великого та середнього розмірів,,Great Britain,https://uku.com.ua/plem_work/breed_fci/03.html,,
170,Као де Кастро Лаборейро,Пінчери та шнауцери - Молоси та Швейцарські Гірські та Скотогонні собаки,Молоси,,Portugal,https://uku.com.ua/plem_work/breed_fci/02.html,,
171,Арденський Був’є,Пастуші собаки (вівчарки) та скотогонні собаки (крім швейцарських скотогонних собак),Скотогонні собаки (крім швейцарських скотогонних собак),,Belgium,https://uku.com.ua/plem_work/breed_fci/01.html,,
172,Пудель,Собаки-компаньйони та декоративні собаки,Пудель,,France,https://uku.com.ua/plem_work/breed_fci/09.html,,
173,Као де Серра де Естрела (Ештрельская Гірська Вівчарка),Пінчери та шнауцери - Молоси та Швейцарські Гірські та Скотогонні собаки,Молоси,,Portugal,https://uku.com.ua/plem_work/breed_fci/02.html,,
175,Французький Спанієль,Лягаві Собаки,Континентальні Лягаві Собаки,,France,https://uku.com.ua/plem_work/breed_fci/07.html,,
176,Пікардійська Вівчарка,Пастуші собаки (вівчарки) та скотогонні собаки (крім швейцарських скотогонних собак),Пастуші собаки (вівчарки),,France,https://uku.com.ua/plem_work/breed_fci/01.html,,
177,Ар’єзький Лягавий Собака,Лягаві Собаки,Континентальні Лягаві Собаки,,France,https://uku.com.ua/plem_work/breed_fci/07.html,,
179,Бурбонський Лягавий Собака,Лягаві Собаки,Континентальні Лягаві Собаки,,France,https://uku.com.ua/plem_work/breed_fci/07.html,,
180,Овернський Лягавий Собака,Лягаві Собаки,Континентальні Лягаві Собаки,,France,https://uku.com.ua/plem_work/breed_fci/07.html,,
181,Різеншнауцер,Пінчери та шнауцери - Молоси та Швейцарські Гірські та Скотогонні собаки,Пінчери та Шнауцери,,Germany,https://uku.com.ua/plem_work/standard_ua/02/rizenshnautser.html,,
182,Шнауцер,Пінчери та шнауцери - Молоси та Швейцарські Гірські та Скотогонні собаки,Пінчери та Шнауцери,,Germany,https://uku.com.ua/plem_work/standard_ua/02/shnautser.html,,
183,Мініатюрний Шнауцер,Пінчери та шнауцери - Молоси та Швейцарські Гірські та Скотогонні собаки,Пінчери та Шнауцери,,Germany,https://uku.com.ua/plem_work/standard_ua/02/tsvergshnautser.html,,
184,Німецький Пінчер,Пінчери та шнауцери - Молоси та Швейцарські Гірські та Скотогонні собаки,Пінчери та Шнауцери,,Germany,https://uku.com.ua/plem_work/standard_ua/02/nim_pincher.html,,
185,Мініатюрний Пінчер,Пінчери та шнауцери - Молоси та Швейцарські Гірські та Скотогонні собаки,Пінчери та Шнауцери,,Germany,https://uku.com.ua/plem_work/standard_ua/02/mini_pincher.html,,
186,Аффенпінчер,Пінчери та шнауцери - Молоси та Швейцарські Гірські та Скотогонні собаки,Пінчери та Шнауцери,,Germany,https://uku.com.ua/plem_work/breed_fci/02.html,,
187,Португальський Лягавий Собака,Лягаві Собаки,Континентальні Лягаві Собаки,,Portugal,https://uku.com.ua/plem_work/breed_fci/07.html,,
188,Слюгі - Арабський Хорт,Хорти,Короткошерсті Хорти,,Morocco,https://uku.com.ua/plem_work/breed_fci/10.html,,
189,Фінський Лапхунд,Шпіци та собаки примітивного типу,Північні Сторожові та Пастуші Собаки,,Finland,https://uku.com.ua/plem_work/breed_fci/05.html,,
